RULE,Waivable,rule_letter,category,COUNT 1, COUNT 2
MR_via.4a,no,M,drcmr,0,0
MR_via.4a_a,no,M,drcmr,0,0
MR_via.5a,no,M,drcmr,0,0
MR_m2.1,no,M,drcmr,0,0
MR_m2.2,no,M,drcmr,0,0
MR_m2.3b,no,M,drcmr,0,0
MR_m2.3a,no,M,drcmr,0,0
MR_m2.4,no,M,drcmr,0,0
MR_m2.4_a,no,M,drcmr,0,0
MR_m2.5,no,M,drcmr,0,0
MR_m2.6,no,M,drcmr,0,0
MR_m2.7,no,M,drcmr,0,0
MR_m2.7_a,no,M,drcmr,0,0
MR_via2.1a,no,M,drcmr,0,0
MR_via2.1a_a,no,M,drcmr,0,0
MR_via2.1a_b,no,M,drcmr,0,0
MR_via2.2,no,M,drcmr,0,0
MR_via2.3,no,M,drcmr,0,0
MR_via2.3_a,no,M,drcmr,0,0
MR_via2.3_b,no,M,drcmr,0,0
MR_via2.4,no,M,drcmr,0,0
MR_via2.4_a,no,M,drcmr,0,0
MR_via2.5,no,M,drcmr,0,0
MR_m3.1,no,M,drcmr,0,0
MR_m3.2,no,M,drcmr,0,0
MR_m3.4,no,M,drcmr,0,0
MR_m3.4_a,no,M,drcmr,0,0
MR_m3.3d,no,M,drcmr,0,0
MR_m3.3c,no,M,drcmr,0,0
MR_via3.1,no,M,drcmr,0,0
MR_via3.1_a,no,M,drcmr,0,0
MR_via3.1_b,no,M,drcmr,0,0
MR_via3.2,no,M,drcmr,0,0
MR_via3.4,no,M,drcmr,0,0
MR_via3.4_a,no,M,drcmr,0,0
MR_via3.5,no,M,drcmr,0,0
MR_m4.1,no,M,drcmr,0,0
MR_m4.2,no,M,drcmr,0,0
MR_m4.3,no,M,drcmr,0,0
MR_m4.3_a,no,M,drcmr,0,0
MR_m4.4a,no,M,drcmr,0,0
MR_m4.5b,no,M,drcmr,0,0
MR_m4.5a,no,M,drcmr,0,0
MR_via4.1,no,M,drcmr,0,0
MR_via4.1_a,no,M,drcmr,0,0
MR_via4.1_b,no,M,drcmr,0,0
MR_via4.2,no,M,drcmr,0,0
MR_via4.3,no,M,drcmr,0,0
MR_via4.3_a,no,M,drcmr,0,0
MR_via4.3_b,no,M,drcmr,0,0
MR_via4.4,no,M,drcmr,0,0
MR_via4.4_a,no,M,drcmr,0,0
MR_m5.1,no,M,drcmr,0,0
MR_m5.2,no,M,drcmr,0,0
MR_m5.3,no,M,drcmr,0,0
MR_m5.3_a,no,M,drcmr,0,0
MR_m5.4,no,M,drcmr,0,0
MR_pad.2,no,M,drcmr,0,0
MR_hvi.1,no,M,drcmr,0,0
MR_hvi.2a,no,M,drcmr,0,0
MR_hvntm.1,no,M,drcmr,0,0
MR_hvntm.2,no,M,drcmr,0,0
MR_cfom.waffle.1,no,M,drcmr,0,0
MR_cfom.waffle.2,no,M,drcmr,0,0
MR_cfom.waffle.2a,no,M,drcmr,0,0
MR_cp1m.waffle.1,no,M,drcmr,0,0
MR_cp1m.waffle.2a,no,M,drcmr,0,0
MR_li1m.waffle.1,no,M,drcmr,0,0
MR_li1m.waffle.2a,no,M,drcmr,0,0
MR_cmm1.waffle.1,no,M,drcmr,0,0
MR_cmm1.waffle.2,no,M,drcmr,0,0
MR_cmm2.waffle.1,no,M,drcmr,0,0
MR_cmm2.waffle.2,no,M,drcmr,0,0
MR_cmm3.waffle.1,no,M,drcmr,0,0
MR_cmm3.waffle.2,no,M,drcmr,0,0
MR_cmm4.waffle.1,no,M,drcmr,0,0
MR_cmm4.waffle.2,no,M,drcmr,0,0
MR_cmm5.waffle.1,no,M,drcmr,0,0
MR_cmm5.waffle.2,no,M,drcmr,0,0
MR_cfom.pd.1d,no,M,drcmr,0,0
MR_cfom.pd.1e,no,M,drcmr,0,0
MR_cli1m.4,no,M,drcmr,0,0
MR_cli1m.5,no,M,drcmr,0,0
MR_cmm1.pd.3,no,M,drcmr,0,0
MR_cmm1.pd.4,no,M,drcmr,0,0
MR_cmm2.pd.3,no,M,drcmr,0,0
MR_cmm2.pd.4,no,M,drcmr,0,0
MR_cmm3.pd.3,no,M,drcmr,0,0
MR_cmm3.pd.4,no,M,drcmr,0,0
MR_cmm4.pd.3,no,M,drcmr,0,0
MR_cmm4.pd.4,no,M,drcmr,0,0
MR_cmm5.pd.4,no,M,drcmr,0,0
MR_cmm5.pd.5,no,M,drcmr,0,0
